Combined_Review,Labels
"Phúc lợi khá OK còn công việc thì tùy dự án và đơn vị. Văn phòng khá đẹp, nhiều event trong nội bộ công ty. OT được tính lương đầy đủ theo pháp luật, ít khi phải OT, bộ phận IT operation thì thường phải OT nhiều hơn do đặc thù công việc. Nên cải thiện quy trình và phúc lợi dành cho onsiters, ko nên cắt phúc lợi hay chế độ để phá giá thị trường.","Salary & benefits, Culture & fun, Office & workspace"
"Môi trường năng động, trẻ, chính sách bảo mật cao, ít benefits. Môi trường năng động, trẻ trung. Có cơ hội làm việc với oversea clients. OT tùy thuộc giai đoạn dự án mà thời gian OT ít hay nhiều. Nói chung ổn. Tăng số ngày nghỉ phép như 12 phép năm + 3 phép ốm.","Salary & benefits, Culture & fun"
"Một nơi tốt để học và phát triểu bản thân. Định hướng công ty tốt, khách hàng châu mỹ nên rất thoải mái, giờ giấc cũng flexible. Rất ít khi OT, khi OT thì được bonus, Cũng không bị ép OT, làm trên tinh thần tự nguyện. Cần đầu tư hơn về cơ sở vật chất, văn phòng , các phần còn lại thì rất tốt.","Salary & benefits, Training & learning, Office & workspace"
"Review mang tính góp ý, không có ý định chê công công cty. Đồng nghiệp thân thiện, hoà đồng, hỗ trợ hết mình, non-toxic. Sếp nhiệt tình, hiền, lắng nghe nhân viên. Làm dự án US thì có trả tiền OT, rate vẫn 1.5 nhưng trả đầy đủ, cũng ổn. Ràng buộc thực tập sinh 2 năm, nhưng lúc phỏng vấn/ký hợp đồng không nói rõ cho người ta biết, mặc dù có trong hợp đồng nhưng nên rõ ràng từ đầu đỡ mắc lòng 2 bên. Benefits ít, không có gì cạnh tranh với những công ty khác. Không có hoạt động đào tạo, cho nhân viên thử lĩnh vực mới hoặc luân chuyển giữa các bộ phận.","Salary & benefits, Training & learning, Management cares about me, Culture & fun"
"Cty trẻ, năng động, lead có tâm, benefit ít. Cty trẻ, năng động, lead có tâm. Process khá chuyên nghiệp. OT nhiều nhưng ít khi được thanh toán. hay phải meeting ban đêm vì làm việc với khách mỹ. Nên thêm các benefit tương ứng khi member làm việc ngoài giờ.","Salary & benefits, Management cares about me, Culture & fun"
"Khách hàng chủ yếu thị trường Mỹ nên môi trường làm việc cởi mở & chuyên nghiệp. Có thưởng dự án mỗi quý. Sếp luôn quan tâm đến nhân viên. Để giúp đỡ nhân viên mùa nCoV, cty đã gửi tặng quà cho toàn bộ nhân viên. Chế độ OT rất tốt. Nhân viên không ai từ chối OT nếu có yêu cầu làm OT. Công ty cần tăng tỉ lệ đóng BHXH cho nhân viên cao hơn.","Salary & benefits, Management cares about me, Culture & fun"
"Hợp để fresher lấy kinh nghiệm. Môi trường cởi mở, đầu vào không quá khó, rất phù hợp cho những bạn fresher lấy kinh nghiệm thực chiến. Lúc trước làm một thời gian từ hồi mới ra trường. Môi trường hơi cực nhưng học hỏi được nhiều.",Training & learning
"Môi trường phát triển tốt. Cơ hội giao tiếp bằng tiếng anh, làm việc với người bản ngữ. Resource utilization phải làm nhiều project cùng lúc, thiếu người khi chạy những dự án ngắn thành ra 1 người phải làm nhiều việc. Chế độ bonus cho OT không được như mong đợi của nhân viên.","Salary & benefits, Training & learning"
"Môi trường năng động, phù hợp cho sinh viên mới ra trường. Môi trường năng động. Sếp thân thiện. Khá open cho sinh viên thực tập hay vừa tốt nghiệp. Dự án gấp OT hơi nhiều. Lương thưởng phúc lợi ko cao. Sếp dẫn đi ăn nếu có OT còn thưởng hay gì khác thì ko có.","Salary & benefits, Training & learning, Management cares about me, Culture & fun"
"Môi trường khá tốt. Mô trường tương đối thân thiện. Quy trình ổn. Tạo cơ hội nhân viên nghiên cứu, học hỏi kiến thức mới. Văn phòng và cách sắp xếp bàn chưa thoải mái lắm.","Training & learning, Culture & fun, Office & workspace"
"Môi trường trẻ trung, nhưng OT khá nhiều. Đồng nghiệp thân thiện. Các hoạt động team building, company trip diễn ra thường xuyên. Môi trường Outsource, sẽ tham gia được nhiều dự án, học được nhiều kinh nghiệm. Văn phòng hơi chật, hơi bí ánh sáng. OT hơi nhiều. Leader (cũ) hơi chuối. Lương không cao lắm. Kỳ kèo trong tăng lương, lên senior.","Salary & benefits, Training & learning, Culture & fun, Office & workspace"
"Cty nhỏ nhưng rất nhiệt. Trang trí đẹp, thân thiện, sếp rất vì anh em, bạn sẽ học đc rất nhiều khi làm việc ở đây. Anh em cùng làm rất vui, rất thích dùng techstack mới. Startup nên vẫn còn khá hạn chế về các quyền lợi nhưng vẫn rất ok.","Salary & benefits, Training & learning, Management cares about me, Culture & fun, Office & workspace"
"Vẻ bề ngoài không nói lên tất cả. Vẻ bề ngoài không tốt như mong đợi, nhưng cái cốt lõi bên trong rất đáng để lưu tâm. Một nơi để phát triển tốt trên nhiều phương diện. Văn phòng có lẽ là nơi khiến các ứng viên băn khoăn nhiều nhất ^^.","Training & learning, Office & workspace"
Gia đình thứ hai! Môi trường ấm áp và thoải mái như một gia đình nhỏ.,Culture & fun
