reviewer_id,timestamp,review_content,company_name,company_type,company_size,company_address,review_content_cleaned,is_review_gpt-5,is_review_gpt-120b,human_verified,Bao_verified
f67871,1 năm trước,Sếp ở đây kém chuyên môn nên chọn người cũng kém chuyên môn như mình đặt vào các vị trí quản lý ở trên nên cũng đừng ngạc nhiên khi chất lượng công việc thấp.,BYCN IT Vietnam,product,301-500,364 Cong Hoa Tan Binh Ho Chi Minh,sếp ở đây kém chuyên môn nên chọn người cũng kém chuyên môn như mình đặt vào các vị trí quản lý ở trên nên cũng đừng ngạc nhiên khi chất lượng công việc thấp.,TRUE,TRUE,,
ada73c,2 năm trước,Muốn nói thật nhiều nhưng mà thôi.Chỉ nói ngắn gọn là : Not recommend.,BYCN IT Vietnam,product,301-500,364 Cong Hoa Tan Binh Ho Chi Minh,muốn nói thật nhiều nhưng mà thôi. chỉ nói ngắn gọn là not recommend.,TRUE,TRUE,,
d45613,4 năm trước,"Cho em xin cập nhật với anh chị ơi, sắp phỏng vấn ạ :3",BYCN IT Vietnam,product,301-500,364 Cong Hoa Tan Binh Ho Chi Minh,"cho em xin cập nhật với anh chị ơi, sắp phỏng vấn ạ",FALSE,FALSE,,
cc0bf6,7 năm trước,"Bãi đậu xe của tòa nhà nên khá ổn, vp rộng, sếp quan tâm lính lác, đồng nghiệp thì luôn bao che cho nhau, good environmentCông ty Pháp nên theo hơi hướng Pháp, họp hơi nhiều, chỉ vậy thôi :)",BYCN IT Vietnam,product,301-500,364 Cong Hoa Tan Binh Ho Chi Minh,"bãi đậu xe của tòa nhà nên khá ổn, vp rộng, sếp quan tâm lính lác, đồng nghiệp thì luôn bao che cho nhau, good environmentcông ty pháp nên theo hơi hướng pháp, họp hơi nhiều, chỉ vậy thôi",TRUE,TRUE,,
194f1a,1 năm trước,"co lần pv ở đây. ng phong vấn cứ kiểu khinh khinh, người thì ngồi cười hí hí. coi thường ứng viên kinh ak. còn nói chuyện vô duyên nữa. cam thấy môi truong quá tệ lun . k xd vao45",Cybozu Vietnam,product,51-150,106 Nguyen Van Troi Phu Nhuan Ho Chi Minh,"co lần phỏng vấn ở đây. ng phong vấn cứ kiểu khinh khinh, người thì ngồi cười hí hí. coi thường ứng viên kinh ak. còn nói chuyện vô duyên nữa. cam thấy môi truong quá tệ lun . không vao45",TRUE,TRUE,,
e07e24,2 năm trước,"Sao mấy tháng gần đây thấy công ty này liên tục tuyển front-end, không biết có phải là đang thực sự muốn tuyển người hay là đang làm quảng bá cho công ty nữa. Mà nếu muốn tuyển front-end sao cả vài tháng nay không tuyển được chứ, thật là đáng nghi. Ai làm front-end bên này cho xin chút review với ạ.",Cybozu Vietnam,product,51-150,106 Nguyen Van Troi Phu Nhuan Ho Chi Minh,"sao mấy tháng gần đây thấy công ty này liên tục tuyển front end, không biết có phải là đang thực sự muốn tuyển người hay là đang làm quảng bá cho công ty nữa. mà nếu muốn tuyển front end sao cả vài tháng nay không tuyển được chứ, thật là đáng nghi. ai làm front end bên này cho xin chút review với ạ.",FALSE,FALSE,,
9bca40,2 năm trước,"Tốt: Cty có chế độ ngon lành, hybrid workingXấu: Môi trường cực kì toxic, đáy của xã hội. JD yêu cầu bao nhiêu thì lúc working nhiều hơn thế nữa. -&gt; Đừng mất thời gian vào đây.",Cybozu Vietnam,product,51-150,106 Nguyen Van Troi Phu Nhuan Ho Chi Minh,"tốt công ty có chế độ ngon lành, hybrid workingxấu môi trường cực kì toxic, đáy của xã hội. jd yêu cầu bao nhiêu thì lúc working nhiều hơn thế nữa. gt đừng mất thời gian vào đây.",TRUE,TRUE,,
b6a06b,2 năm trước,Sao chỗ này đăng tin tuyển dụng front-end lúc nào cũng giới hạn độ tuổi dưới 27 (Age: up to 27) không vậy? Trên 27 tuổi không vào làm được sao? Rồi ai trên 27 tuổi mà ứng tuyển chắc là bị rớt liền luôn.,Cybozu Vietnam,product,51-150,106 Nguyen Van Troi Phu Nhuan Ho Chi Minh,sao chỗ này đăng tin tuyển dụng front end lúc nào cũng giới hạn độ tuổi dưới 27 age up to 27 không vậy? trên 27 tuổi không vào làm được sao? rồi ai trên 27 tuổi mà ứng tuyển chắc là bị rớt liền luôn.,FALSE,FALSE,,
70b19a,2 năm trước,cong ty product co veo gi nhieu dau lam qua ngay dang tuyen nguoi cho xom thoi may ong noi,Cybozu Vietnam,product,51-150,106 Nguyen Van Troi Phu Nhuan Ho Chi Minh,cong ty product co veo gi bao nhiêu dau lam qua ngay dang tuyen nguoi cho m thoi may ong noi,FALSE,FALSE,,
6ca817,4 năm trước,"Tốt: Công ty support nhân viên ăn chơi thì ok.Tệ- Giờ làm việc cứng nhắc, trễ 1p là bị nghe chửi sm.- Làm việc chung team thì soi mói, bắt bẻ nhau từng tí một. Có chuyện gì là tìm cách đổ lỗi.- WFh nhưng phải report chi tiết giờ nào làm gì như mẫu giáo cấp 1.- Sếp thì k bao giờ quan tâm nhân viên, như ở chân trời khác. Nhất là thấy sếp bên QA hỏi những câu hỏi rất tào lao và thiếu tư duy.- Dự án thì nhàm chán, chủ yếu là maintain k có gì hơn. Chả có định hướng gì lâu dài để phát triển. Ai thích nhàn nhã sống qua ngày thì vào đây lụn bại. Còn muốn phát triển, đi lên cao thì hãy skip.- Lúc nào nhắc đến cũng sợ trách nhiệm, làm gì cũng cứng nhắc, sợ này sợ nọ.",Cybozu Vietnam,product,51-150,106 Nguyen Van Troi Phu Nhuan Ho Chi Minh,"tốt công ty support nhân viên ăn chơi thì ok. tệ giờ làm việc cứng nhắc, trễ 1p là bị nghe chửi sm. làm việc chung team thì soi mói, bắt bẻ nhau từng tí một. có chuyện gì là tìm cách đổ lỗi. wfh nhưng phải report chi tiết giờ nào làm gì như mẫu giáo cấp 1. sếp thì không bao giờ quan tâm nhân viên, như ở chân trời khác. nhất là thấy sếp bên qa hỏi những câu hỏi rất tào lao và thiếu tư duy. dự án thì nhàm chán, chủ yếu là maintain không có gì hơn. chả có định hướng gì lâu dài để phát triển. ai thích nhàn nhã sống qua ngày thì vào đây lụn bại. còn muốn phát triển, đi lên cao thì hãy skip. lúc nào nhắc đến cũng sợ trách nhiệm, làm gì cũng cứng nhắc, sợ này sợ nọ.",TRUE,TRUE,,
f4b051,4 năm trước,em đang đinh xin intern trong kì hè này vị trí dev fe ac nào đã đang làm việc tại công ty có thể review giúp em được không ạ,Cybozu Vietnam,product,51-150,106 Nguyen Van Troi Phu Nhuan Ho Chi Minh,em đang đinh xin intern trong kì hè này vị trí dev fe ac nào đã đang làm việc tại công ty có thể review giúp em được không ạ,FALSE,FALSE,,
e82a84,5 năm trước,công ty này thế lào mấy bạn,Cybozu Vietnam,product,51-150,106 Nguyen Van Troi Phu Nhuan Ho Chi Minh,công ty này thế lào mấy bạn,FALSE,TRUE,X,FALSE
562753,5 năm trước,Quy trình trainning không rõ ràng và không hiệu quả,Cybozu Vietnam,product,51-150,106 Nguyen Van Troi Phu Nhuan Ho Chi Minh,quy trình trainning không rõ ràng và không hiệu quả,TRUE,TRUE,,
f57c1a,6 năm trước,"Không biết mọi người nghĩ sao, chứ trường hợp của em vô pv xin intern mà hai ông pv cứ tưởng là senior, nói ra câu nào bắt bẻ câu đó, nói chung là max khó chịu. Thề là đéo ưa nổi",Cybozu Vietnam,product,51-150,106 Nguyen Van Troi Phu Nhuan Ho Chi Minh,"không biết mọi người nghĩ sao, chứ trường hợp của em vô phỏng vấn xin intern mà hai ông phỏng vấn cứ tưởng là senior, nói ra câu nào bắt bẻ câu đó, nói chung là max khó chịu. thề là đéo ưa nổi",TRUE,TRUE,,
227c50,7 năm trước,"Có chế độ 5 mem ""ăn chơi"" thì được công ty chịu 50%Không có OT, làm theo Scrum nên không có OT...(Không có OT, làm theo Scrum nên không có OT...)Chưa biết, mình chỉ mới thực tập ở đây nên chưa rõ!",Cybozu Vietnam,product,51-150,106 Nguyen Van Troi Phu Nhuan Ho Chi Minh,"có chế độ 5 mem ăn chơi thì được công ty chịu 50 không có OT, làm theo scrum nên không có OT. không có OT, làm theo scrum nên không có OT. chưa biết, mình chỉ mới thực tập ở đây nên chưa rõ!",TRUE,TRUE,,
71c03b,1 năm trước,ky niem 6 thang m cook khoi cong ty cc khalid,Lazada Tech Hub,product,301-500,138 Hai Ba Trung District 1 Ho Chi Minh,ky niem 6 thang m cook khoi cong ty cc khalid,TRUE,TRUE,,
408346,2 năm trước,Bill Nguyen Lazada Singapor đu dây điện gãy cc ch ết chưa ta,Lazada Tech Hub,product,301-500,138 Hai Ba Trung District 1 Ho Chi Minh,bill nguyen lazada singapor đu dây điện gãy cc ch ết chưa ta,FALSE,FALSE,,
15a369,2 năm trước,"Thấy app xịn xò, mượt vc, vượt shopee rồi. Chắc toàn dev khủng :D",Lazada Tech Hub,product,301-500,138 Hai Ba Trung District 1 Ho Chi Minh,"thấy app xịn xò, mượt vc, vượt shopee rồi. chắc toàn dev khủng",FALSE,FALSE,,
