reviewer_id,timestamp,review_content,company_name,company_type,company_size,company_address,review_content_cleaned,is_review_gpt-5,is_review_gpt-oss-120b,human_verified,Huy_verified
072bac,2 năm trước,chào mng mình cbi có apply vào đây. Mình có tìm hiểu qua về cty rôi nhưng mình vẫn cần review từ mọi người để có cái nhìn chính xác nhất ạ,Wolf Consulting,product,1/1/1950 0:00,"Binh Thanh, Ho Chi Minh",chào mng mình cbi có apply vào đây. mình có tìm hiểu qua về công ty rôi nhưng mình vẫn cần review từ mọi người để có cái nhìn chính xác nhất ạ,FALSE,FALSE,,
d962db,2 năm trước,Tiếng anh kém có thể xin vào fresher được k ạ. Em bị hơi kém phần speaking với writing.,Wolf Consulting,product,1/1/1950 0:00,"Binh Thanh, Ho Chi Minh",tiếng anh kém có thể xin vào fresher được không ạ. em bị hơi kém phần speaking với writing.,FALSE,FALSE,,
0c8257,2 năm trước,2 năm exp deal lương 15m ổn k mng,Wolf Consulting,product,1/1/1950 0:00,"Binh Thanh, Ho Chi Minh",2 năm e deal lương 15m ổn không mng,FALSE,FALSE,,
fa1252,2 năm trước,Interview xong bao lâu có kqua vậy mng,Wolf Consulting,product,1/1/1950 0:00,"Binh Thanh, Ho Chi Minh",interview ng bao lâu có kqua vậy mng,FALSE,FALSE,,
039f77,2 năm trước,Rảnh rỗi lên đây viết review xong tự trả lời tự tung tự hứng thì trả tiền lương còn nợ nhân viên đi. BHXH với BHYT nhân viên còn không đóng đủ ngồi đó review 5 sao ?,Wolf Consulting,product,1/1/1950 0:00,"Binh Thanh, Ho Chi Minh",rảnh rỗi lên đây viết review ng tự trả lời tự tung tự hứng thì trả tiền lương còn nợ nhân viên đi. bhxh với bhyt nhân viên còn không đóng đủ ngồi đó review 5 sao ?,TRUE,TRUE,,
ab4eae,2 năm trước,"Chuyên môn của Ceo là marketing nên mấy cái review này CEO đều ráng push lên 5 sao mặc cho một sự thật là Marketing cũng ẹ mà Tech cũng ẹ, sales cũng ẹ nốt. tóm lại là cái gì cũng biết mà biết kiểu quẹt quẹt, chỉ có chém gió và đổ thừa là nhanh nhất. Đặc biệt nói xấu KH và đổ thừa nhân viên, còn mình vẫn vô can ha ha. Mặc dù dự án nào cũng chọt vào từng chi tiết, đến hồi bể quá rồi mới thả, dí cho nhân viên là xong nhiệm vụ của CEO blah blah.",Wolf Consulting,product,1/1/1950 0:00,"Binh Thanh, Ho Chi Minh","chuyên môn của ceo là marketing nên mấy cái review này ceo đều ráng push lên 5 sao mặc cho một sự thật là marketing cũng ẹ mà tech cũng ẹ, sales cũng ẹ nốt. tóm lại là cái gì cũng biết mà biết kiểu quẹt quẹt, chỉ có chém gió và đổ thừa là nhanh nhất. đặc biệt nói xấu không và đổ thừa nhân viên, còn mình vẫn vô can . mặc dù dự án nào cũng chọt vào từng chi tiết, đến hồi bể quá rồi mới thả, dí cho nhân viên là ng nhiệm vụ của ceo blah blah.",TRUE,TRUE,,
04dacf,2 năm trước,Cty luôn trả đủ lương nha ae,Wolf Consulting,product,1/1/1950 0:00,"Binh Thanh, Ho Chi Minh",công ty luôn trả đủ lương nha anh em,TRUE,TRUE,,
f47f5a,2 năm trước,"Nhìn chung tổng thể cty tốt, dev vui tính",Wolf Consulting,product,1/1/1950 0:00,"Binh Thanh, Ho Chi Minh","nhìn chung tổng thể công ty tốt, dev vui tính",TRUE,TRUE,,
54fbe6,2 năm trước,mọi người đều có trách nhiệm trrong công việc,Wolf Consulting,product,1/1/1950 0:00,"Binh Thanh, Ho Chi Minh",mọi người đều có trách nhiệm trrong công việc,TRUE,TRUE,,
e2e124,2 năm trước,cty có nhiều cá nhân có thành tích vượt mong đợi,Wolf Consulting,product,1/1/1950 0:00,"Binh Thanh, Ho Chi Minh",công ty có nhiều cá nhân có thành tích vượt mong đợi,TRUE,TRUE,,
