reviewer_id,timestamp,review_content,company_name,company_type,company_size,company_address
19c2aa,1 năm trước,"Công cty làm ăn bậy bạ và đâm thọt ạ.Mang danh là anh lớn trong ngành truyền thông quảng cáo nhưng lại đi chơi dơ, chơi xấu các công ty khác cùng ngành. Nói chung là toàn là đầu trâu mặt ngựa thôi ạ.",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
3a2f1e,2 năm trước,Nội dung review đã bị ẩn vì vi phạm điều khoản sử dụng!,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
c241dd,2 năm trước,"- Trước khi đi phỏng vấn mình cũng lên reviewcompany đọc review của mọi người thế nào, quả đúng như các bạn review một cuộc phỏng vấn chóng vánh 10p đã xảy ra và HRD chỉ chăm chăm hỏi có chứng minh được mức lương hiện tại không sẽ phỏng vấn tiếp hahaha, mình xin lỗi nếu vì cam kết bảo mật nên không thể show thông tin công ty cũ và thế là cũng kết thúc buổi ""phỏng vấn"", khuyên các bạn ứng viên không nên mất thời gian vào công ty chỉ chăm chăm bắt bạn chứng minh lương mà không cần phỏng vấn đánh giá năng lực",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
0db280,2 năm trước,"Cảm giác như hr là người quyết định ứng viên có được vô hay ko chứ ko cần biết ứng viên đó tốt hay ko, kĩ năng ứng xử quá kém, nếu cty còn những hr như vậy thì sau này mãi cũng ko tuyển đc người tốt, mình chưa đọc review, sau khi pv xong vô đây đọc mới thấy đúng là việc thì nhiều mà còn bị ép lương, cty đúng kiểu gia đình chính trị, thôi bye",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
4de6cd,2 năm trước,"Cá nhân mình thấy công ty làm việc không hề chuyên nghiệp. Headcount không được duyệt trước đó nhưng vẫn cố tình tuyển, tuyển ra offer với ứng viên cho đã đời rồi mới đi xin đc duyệt headcount. Xin duyệt dc thì có performance cho bạn còn không được thì quay sang huỷ với ứng viên xong xin lỗi rồi thôi á.Quy trình của một offer là phải được sự đồng ý của các cấp rồi mới dám xác nhận với ứng viên chứ. Có những bạn vì tin tưởng công ty mà reject các bên khác trong thời buổi kinh tế khó khăn này thì sao? Hổng thấy ác quá hả. Đừng lấy người khác ra làm phép thử của các bạn chứ",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
51dece,2 năm trước,"Gửi hơn 20 cái mail cho công ty nhưng không lần nào được phản hồi về việc đi phỏng vấn??? Profile 3 năm hơn kinh nghiệm chứ cũng không phải ít, JD yêu cầu chỉ cần 1 năm thôi nhưng vẫn không được hẹn buổi pvan nào.. tự hỏi HR có xem qua hay không quá vô lý, 1 sao",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
20686e,2 năm trước,":) chuyện là mình có nộp CV vào nhưng chỉ nhận mail tự động, sau vài ngày thì mình mới mail lại cho HR về CV của mình có Reject hong để mình còn nộp chổ mới. Và sau 1 tuần rồi vẫn không thấy trả lời. Mình nghĩ công ty lớn nên phải có quy trình tuyển dụng cụ thể chứ? Mình thấy không hề tôn trọng ứng viên luôn ấy. Mọi người thấy lâu quá thì cũng đừng hỏi lại như mình. Tốn thời gian lắm :) nộp nơi khác đi",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
4c8420,2 năm trước,"Công ty thường xảy ra nhiều vụ quay lén trong WC , mặc dù thường xuyên báo lên các cấp trên nhưng công ty vẫn mặc kệ, không hề quan tâm bảo vệ quyền lợi của nhân viên",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
c5ad74,3 năm trước,"Cư xử thiếu nhân văn, trong email phòng chống dịch: nếu ai F0 thì đăng ký 3 ngày đầu là nghỉ bệnh và có giấy chứng nhận nghỉ do Covid thì nộp về phòng nhân sự để nhận 75% lương từ BHXH. Sau đó thì bắt làm việc tại nhà và hưởng 70% lương. Công ty người ta thì trân trọng, hỗ trợ người F0 vẫn làm việc, công ty này thì lợi dụng cắt lương nhân viên.Họp đầu năm ngày thứ 2, 14/3/2022, bắt buộc mặc đồng phục và đồng phục thì chiều CN 13/3/2022 mới có, nhân viên trễ thì đòi phạt, còn cty trễ thì bắt nhân viên chịu khó.",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
24ad83,4 năm trước,"công ty gia đình, process lằng nhằng, quản lý phong cách việt nam, benefit chả có gì ráo, vào làm là 1 sai lầm. Mình làm bên team technical HBT mà thấy bè phái, đấu đá như boxing, nhiều cấp leader không có kinh nghiệm, không có kiến thức mà thích thể hiện, phòng thủ lẫn nhau, suốt ngày chỉ trích, không vui vẻ gì hết.",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
035b28,4 năm trước,Cảm ơn vì luôn đồng hành cùng Jack,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
903b92,4 năm trước,Môi trường làm việc tốt. Thời điểm dịch bệnh vẫn đảm bảo lương cho nhân viên. Rất hài lòng.,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
9539f9,4 năm trước,Cong ty chuyen nghiep,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
05e3ab,4 năm trước,"Một công ty nổi tiếng với phong cách bẩn thỉu, chuyên đi bôi nhọ danh dự của ca sĩ khác để nâng gà nhà lên. Hiện tại đang chứa chấp một ca sĩ có lối sống truỵ lạc, vô đạo đức là Jack (J97)...",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
a54b7e,4 năm trước,Tẩy chay Jack một nghệ sĩ trẻ sống vô trách nhiệm k có đạo đức của 1 người nghệ sĩ thần tượng,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
f74665,4 năm trước,ô mô tẩy trắng.........................................................,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
24e568,4 năm trước,có nhiều chương trình hấp dẫn,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
4c6e33,4 năm trước,thích xem các game show,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
90903a,4 năm trước,thích vì có nhiều chương trình bổ ích,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
96d8d8,4 năm trước,có nhiều game show cho mn xem,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
4e9567,4 năm trước,"Tẩy trắng Jack , đồi truỵ suy thoái văn hoá",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
7aa21b,4 năm trước,Nghệ sĩ suy đồi nhân cách Jack,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
adea93,4 năm trước,Thật thoải mái khi ở đây,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
6d29ac,4 năm trước,Thật tuyệt vời ông mặt trời,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
47a080,4 năm trước,Hhhhhhjhgggbbzmsnsvsmsnsvsnsbgh,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
ab91b0,5 năm trước,ok ok ok ok ok ok ok ok ok ok ok,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
b03eb7,5 năm trước,E muốn hỏi tuyển designer bên đây có khó k mn ạ? E là fresher thì có nên apply k ạ?,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
3f78a4,5 năm trước,Nộp CV vài lần méo thấy gọi chán vcl,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
1204a1,5 năm trước,Cho mình hỏi qui trình tuyển dụng bên này như thế nào ạ? Phỏng vấn có khó khăn/căng thẳng gì không ạ? Mình cám ơn,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
817339,5 năm trước,"Công ty hay tổ chức tiệc tùng, nhiều nghệ sĩ. Bị cái năm nay dịch, đầu năm giờ chả có event gì",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
cfef77,5 năm trước,"Cho E hỏi có dresscode kh vậy các bác, E đag suy nghĩ kh biết có nên đầu tư vest đi làm cho lịch sự kh",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
d89873,5 năm trước,"cty có tuyển intern không ạ? không biết intern ở đây là thực tập có lương hay không lương. ai trả lời giúp mình với, thanks.",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
1a5718,5 năm trước,Em cũng định xin vào mảng content fb vs ytb đây ạ. Ko biết từ 10-12tr ko :)))),DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
8f3cbb,5 năm trước,"Có ai làm vị trí content , biên tập r cho mình xin mức lương với",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
96553b,5 năm trước,"Môi trường áp lực nhưng học hỏi cực nhiều, lương ổn, sếp và chế độ cũng tạm. Được cái cty giải trí nên toàn nghệ sĩ ra vào toàn gặp gái xinh, khả năng thoát FA cao kaka",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
4e8572,5 năm trước,"Đang tính xin vào đây làm mảng biên tập , có bác nào từng làm cty này rồi cho e xin ít review J",DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh"
8510ae,4 giờ trước,Cũng bình thường thôi,lynkid,Dịch vụ,50-100,Hà Nội
14d6cb,4 giờ trước,"Ở cty được hưởng chế độ từ bank khá ok, chỉ mong cty có thêm chế độ hybrid để cân bằng hơn",lynkid,Dịch vụ,50-100,Hà Nội
cfe2e8,8 giờ trước,"@3d3daa Có hả, để em hốt :D",Orient Software Development Corp.,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh
61ca32,2 năm trước,"khi tuyển thì nhiệt tình lắm, pv fail xong ko nói 1 lời nào. nhất là con hr tên minh anh",Orient Software Development Corp.,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh
98933d,2 năm trước,"Vừa pv bên đây về thấy ok, dù fail hay pass cũng có trải nghiệm tốt với HR và dàn pv tech :vp/s: cũng dc bé HR bị tế tên bên dưới support thấy bé share rõ thông tin dự án, phúc lợi, quy trình pv đàng hoàng mà ông nào lên feedback con nhà ngta ác thế. Làm HR gặp các ông thế này stress vl =)))))",Orient Software Development Corp.,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh
1fe393,2 năm trước,"Vào được team 6 người mà ai cũng Senior mới ra trường làm 1 năm lên thẳng Senior, Senior bên này nát thôi rồi, làm ở Orient qua mấy công ty khác ngu người tụt lol",Orient Software Development Corp.,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh
d4e93c,2 năm trước,"Công ty nhận dự án banh chành ra. Lúc thiếu ngườ thì níu kéo ỉa ôi. Lúc công ty không có dự án thì chiêu trò tạo áp lực để tự nghỉ. Khỏi đóng đền bù?HR thì lúc chào đón nhiệt tình. Tới lúc review để nói về vấn đề nhân sự, thì leader hr trốn đi họp trong căn tin, để nhỏ mới ra trường nói chuyện.",Orient Software Development Corp.,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh
2d2c75,3 năm trước,"Lương đầu vào khá cao so với mặt bằng. Công nghệ mới, quản lý tốt, quan tâm. Máy tính mạnh dùng 2 màn. Có đồ ăn sáng và snacks chiều. Cơ hội tiếp xúc, cải thiện tiếng anh thường xuyên khi làm việc với khách hàng. OT trả tiền sòng phẳng, cơ bản ít OT. Là môi trường có thể gắn bó lâu dài.",Orient Software Development Corp.,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh
70e2cc,3 năm trước,"Ưu điểm:So với mặt bằng benefit tốt, nhiều bonus, có bảo hiểm premiumDự án làm công nghệ mới, team trẻ nhưng giỏi, vui lầyCông ty có lớp tiếng anh để học thêm, rất thích điều nàyRất ít OT, nếu OT cũng trả rất đầy đủ. Nhược điểm:Không có cangtin, phải tự mang cơm hoặc mua đồ ăn ở ngoài",Orient Software Development Corp.,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh
5f20a5,3 năm trước,Ne dùm các ae dev ơi. nếu ko muốn mất time vô bổ vào đây.. Chán lắm. đôi khi tới có offer tới ngày onboard nó trở lại đó. haha,Orient Software Development Corp.,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh
0181a0,3 năm trước,Năm nay có tháng 3 ko anh ơi,Orient Software Development Corp.,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh
64016c,3 năm trước,"Vào phỏng vấn gặp mấy thằng nhãi thích thể hiện, mấy cái hỏi trả lời được thì nó lơ còn mấy cái chưa làm qua thì nó nói nghiêm trọng lắm trong khi Google là ra hết. Đòi hỏi cấp độ siêu nhân cái gì cũng phải biết mới cho đậu, hối đi phỏng vấn như giặc kiểu như cần gấp mà đòi siêu nhân thì tuyển tới Tết năm sau ko ra người nha, đòi hỏi siêu nhân nhưng lương cấp tiểu nhân. Rất nhiều vị trí tuyển cả năm ko ra siêu nhân mà gọi cho ứng viên nào cũng nói cần gấp, tiền đăng tin tuyển dụng quá cha, làm phiền nhiều ứng viên tới phỏng vấn.Trình AV ko được bao nhiêu mà làm như ta đây giỏi lắm, để giải quyết 1 issue có rất nhiều công đoạn nhưng ko cho trình bày, phải nói đúng ý trong 1 công đoạn đó mới chịu, ai từng làm công ty 2-3 năm quay lại trả lời chắc được.Có dự án thì tuyển, hết dự án thì out hết team, bảo đảm HR đòi siêu nhân ko hỏi anh/chị có muốn làm lâu dài hay ko đâu, tuyển siêu nhân vào làm dự án liền chứ sợ tốn thời gian đào tạo. Vào cứ nói tôi là siêu nhân và yêu cầu mức lương siêu nhân ko được thì thôi, ko cần phải tình nghĩa và lâu dài gì với công ty tào lao này hết.",Orient Software Development Corp.,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh
9ab2c6,4 năm trước,Công ty chỉ đóng 50% lương,Orient Software Development Corp.,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh
a7be8e,4 năm trước,"Ai làm việc ở Orient ĐN rồi cho xin review. Sếp, HR, văn hoá, môi trường, benefit với ạ",Orient Software Development Corp.,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh
90fb3f,4 năm trước,fresher dev bên này được cỡ 12 củ hem mấy bác ?,Orient Software Development Corp.,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh
