company_name,company_slug,company_url,review_count,company_type,company_size,company_address,processed
DatVietVAC,datvietvac,https://congty.review/companies/datvietvac,51,outsource,301-500,"District 3, Ho Chi Minh",True
SmartDev LLC,smartdev-llc,https://congty.review/companies/smartdev-llc,8,outsource,51-150,257 Hung Vuong Hai Chau Da Nang,True
SmartOSC,smartosc,https://congty.review/companies/smartosc,169,outsource,301-500,Pham Hung Nam Tu Liem Ha Noi,True
NashTech,nashtech,https://congty.review/companies/nashtech,501,outsource,301-500,364 Cong Hoa Tan Binh Ho Chi Minh,True
lynkid,lynkid,https://congty.review/companies/lynkid,2,Dịch vụ,50-100,Hà Nội,True
Orient Software Development Corp.,orient-software-development-corp,https://congty.review/companies/orient-software-development-corp,58,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh,True
Globant,globant,https://congty.review/companies/globant,1,IT outsource,50-100,Hà Nội,True
công ty kiểm toán việt úc,cong-ty-kiem-toan-viet-uc,https://congty.review/companies/cong-ty-kiem-toan-viet-uc,0,kiểm toán,,hồ chí minh,True
Samsung Electronics HCMC CE Complex,samsung-electronics-hcmc-ce-complex,https://congty.review/companies/samsung-electronics-hcmc-ce-complex,100,product,,"District 9, Ho Chi Minh",True
Kiotviet,kiotviet,https://congty.review/companies/kiotviet,1,,,,True
Axon Active Vietnam,axon-active-vietnam,https://congty.review/companies/axon-active-vietnam,163,outsource,51-150,39 Truong Son Tan Binh Ho Chi Minh,True
CoverGo,covergo,https://congty.review/companies/covergo,1,Phần mềm bảo hiểm,51-200,NKKN Tp HCM,True
Nt,nt,https://congty.review/companies/nt,0,500++,,Hổ chí Minh,True
Logix Technology,logix-technology,https://congty.review/companies/logix-technology,20,outsource,1-50,41 Tran Cao Van District 3 Ho Chi Minh,True
"BAN VIEN Co., LTD",ban-vien-co-ltd,https://congty.review/companies/ban-vien-co-ltd,98,outsource,151-300,"Floor 2, Block B, Copac Square, 12 Ton Dan St District 4 Ho Chi Minh",True
"Niteco Vietnam Co., Ltd",niteco-vietnam-co-ltd,https://congty.review/companies/niteco-vietnam-co-ltd,145,outsource,151-300,"156 C&amp;apos;Land Tower, Xa Dan II Dong Da Ha Noi",True
OnDigitals,ondigitals,https://congty.review/companies/ondigitals,0,Marketing,11-50,Tp.HCM,True
Insight Studio,insight-studio,https://congty.review/companies/insight-studio,5,product,1-50,24 Trieu Viet Vuong Hai Ba Trung Ha Noi,True
Bmbsoft,bmbsoft,https://congty.review/companies/bmbsoft,144,outsource,11-50,"Xuân Phương,Nam Từ Liêm,Hà Nội",True
PTN Global,ptn-global,https://congty.review/companies/ptn-global,25,outsource,11-50,KDC 91B Cần Thơ,True
DatVietVAC,datvietvac,https://congty.review/companies/datvietvac,0,,,,True
SmartDev LLC,smartdev-llc,https://congty.review/companies/smartdev-llc,0,,,,True
SmartOSC,smartosc,https://congty.review/companies/smartosc,0,,,,True
NashTech,nashtech,https://congty.review/companies/nashtech,0,,,,True
lynkid,lynkid,https://congty.review/companies/lynkid,0,,,,True
Orient Software Development Corp.,orient-software-development-corp,https://congty.review/companies/orient-software-development-corp,0,,,,True
Globant,globant,https://congty.review/companies/globant,0,,,,True
lynkid,lynkid,https://congty.review/companies/lynkid,0,,,,True
Samsung Electronics HCMC CE Complex,samsung-electronics-hcmc-ce-complex,https://congty.review/companies/samsung-electronics-hcmc-ce-complex,0,,,,True
Orient Software Development Corp.,orient-software-development-corp,https://congty.review/companies/orient-software-development-corp,0,,,,True
Kiotviet,kiotviet,https://congty.review/companies/kiotviet,0,,,,True
Axon Active Vietnam,axon-active-vietnam,https://congty.review/companies/axon-active-vietnam,0,,,,True
CoverGo,covergo,https://congty.review/companies/covergo,0,,,,True
NashTech,nashtech,https://congty.review/companies/nashtech,0,,,,True
Logix Technology,logix-technology,https://congty.review/companies/logix-technology,0,,,,True
Unity In Diversity (Happy UID),unity-in-diversity-(happy-uid),https://congty.review/companies/unity-in-diversity-(happy-uid),4,"Ecommerce, POD",51-200,TP.HCM,True
DLS Inc.,dls-inc,https://congty.review/companies/dls-inc,9,product,1-50,"Thanh Xuan, Ha Noi",True
HD SAISON FINANCE,hd-saison-finance,https://congty.review/companies/hd-saison-finance,56,outsource,1-50,24C Phan Đăng Lưu Phu Nhuan Ho Chi Minh,True
Qi technologies,qi-technologies,https://congty.review/companies/qi-technologies,0,IT,51-200,TP HCM,True
Eastern International University,eastern-international-university,https://congty.review/companies/eastern-international-university,2,Giáo dục,51-200,"Phường Bình Dương, TPHCM",True
ALTEK Technology Company,altek-technology-company,https://congty.review/companies/altek-technology-company,9,outsource,,,True
"PICO INNOVATE Viet Nam Co., Ltd","pico-innovate-viet-nam-co.,-ltd","https://congty.review/companies/pico-innovate-viet-nam-co.,-ltd",0,Thiết kế nội thất,1-10,TP. HCM,True
Phan Anh Luxury Living,phan-anh-luxury-living,https://congty.review/companies/phan-anh-luxury-living,108,outsource,51-150,"81 Nguyễn Cơ Thạch, An Lợi Đông, Quận 2, Thành phố Hồ Chí Minh",True
Onesoft - Falcon Game Studio,onesoft-falcon-game-studio,https://congty.review/companies/onesoft-falcon-game-studio,3,outsource,51-150,"19 Duy Tân, Cầu Giấy, Hà Nội",True
ZTO Labs,zto-labs,https://congty.review/companies/zto-labs,0,IT - phần mềm,11-50,Hà Nội,True
Mebisoft,mebisoft,https://congty.review/companies/mebisoft,2,IT,51-200,Tp.HCM,True
Eurostellar,eurostellar,https://congty.review/companies/eurostellar,13,outsource,11-50,"449/63 Trường Chinh, P 14, Tân Bình, TPHCM",True
TP Entertainment,tp-entertainment,https://congty.review/companies/tp-entertainment,23,product,1-50,02 Hoang Đạo Thúy Thanh Xuan Ha Noi,True
Thoughtworks,thoughtworks,https://congty.review/companies/thoughtworks,0,IT Consulting,1000+,"Pearl 5 Building, 5 Lê Quý Đôn, Phường 6, Xuân Hòa, Hồ Chí Minh",True
Ecr Vietnam,ecr-vietnam,https://congty.review/companies/ecr-vietnam,28,outsource,51-150,"57, Quốc Lộ 13, Phường 26, Quận Bình Thạnh, Tp. Hồ Chí Minh.",True
HDWEBSOFT,hdwebsoft,https://congty.review/companies/hdwebsoft,81,outsource,51-150,403 Nguyen Thai Binh Tan Binh Ho Chi Minh,True
CÔNG TY TNHH MTV DU LỊCH QUỐC TẾ 4J,cong-ty-tnhh-mtv-du-lich-quoc-te-4j,https://congty.review/companies/cong-ty-tnhh-mtv-du-lich-quoc-te-4j,0,,,,True
Aegona,aegona,https://congty.review/companies/aegona,38,outsource,11-50,"Công viên Phần mềm Quang Trung, Tầng 4, Tòa Nhà QTSC 9, Đ. Số 3, Tân Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh",True
Babylons JSC,babylons-jsc,https://congty.review/companies/babylons-jsc,18,product,51-150,"Binh Thanh, Ho Chi Minh",True
Y việt,y-viet,https://congty.review/companies/y-viet,0,,,,True
Vedan,vedan,https://congty.review/companies/vedan,1,product,301-500,Others,True
Smartlog,smartlog,https://congty.review/companies/smartlog,36,product,51-150,207 D1 Binh Thanh Ho Chi Minh,True
HiAI,hiai,https://congty.review/companies/hiai,1,IT,11-50,TP.HCM,True
Công ty Cổ phần iNET,cong-ty-co-phan-inet,https://congty.review/companies/cong-ty-co-phan-inet,11,product,1-50,247 Cầu Giấy Cau Giay Ha Noi,True
METUB Network,metub-network,https://congty.review/companies/metub-network,32,product,1-50,195 Dien Bien Phu Binh Thanh Ho Chi Minh,True
Emerald Priority,emerald-priority,https://congty.review/companies/emerald-priority,0,Bất động sản,201-500,TP.HCM,True
ITVINA,itvina,https://congty.review/companies/itvina,6,outsource,1-50,107 Bến Vân Đồn District 4 Ho Chi Minh,True
Pizza Hut,pizza-hut,https://congty.review/companies/pizza-hut,1,F&B,51-200,TP HCM,True
BIN HOLDINGS LTD,bin-holdings-ltd,https://congty.review/companies/bin-holdings-ltd,36,product,51-150,"507B Huỳnh Tấn Phát, P. Tân Thuận Đông, Quận 7 District 7 Ho Chi Minh",True
VHV,vhv,https://congty.review/companies/vhv,38,outsource,1-50,173 Xuan Thuy Cau Giay Ha Noi,True
TEKYHOLDINGS,tekyholdings,https://congty.review/companies/tekyholdings,117,product,151-300,"Ha Dong, Ha Noi",True
FIDT,fidt,https://congty.review/companies/fidt,0,CNTT,51-200,TP.HCM,True
Charm Group,charm-group,https://congty.review/companies/charm-group,19,product,301-500,"District 6, Ho Chi Minh",True
Stepmedia Software,stepmedia-software,https://congty.review/companies/stepmedia-software,1599,outsource,1-50,"19 Ho Van Hue, W9 Phu Nhuan, Ho Chi Minh",True
Glory software VietNam,glory-software-vietnam,https://congty.review/companies/glory-software-vietnam,0,IT,51-200,Đà nẵng,True
Digital Unicorn,digital-unicorn,https://congty.review/companies/digital-unicorn,17,outsource,11-50,"94 Hồ Nghinh, Sơn Trà, Đà Nẵng",True
TOMOSIA,tomosia,https://congty.review/companies/tomosia,92,outsource,1-50,6 Trần Đăng Ninh kéo dài Cau Giay Ha Noi,True
"Minara Co., Ltd.","minara-co.,-ltd.","https://congty.review/companies/minara-co.,-ltd.",0,"IT, Digital",11-50,Hồ Chí Minh,True
ENJOHUB,enjohub,https://congty.review/companies/enjohub,0,SẢN XUẤT PHIM HOẠT HÌNH 3D,51-200,HÀ NỘI,True
CÔNG TY TNHH TRUYỀN THÔNG MẸ VÀ CON,cong-ty-tnhh-truyen-thong-me-va-con,https://congty.review/companies/cong-ty-tnhh-truyen-thong-me-va-con,0,,,,True
ADT Global,adt-global,https://congty.review/companies/adt-global,0,IT,,Hà Nội,True
