reviewer_id,timestamp,review_content,company_name,company_type,company_size,company_address,is_review_gpt-5,is_review_gpt-120b,human_verified
122798,6 năm trước,a** chị nào từng làm ở đây cho em xin ít review với ạ,Vietnam International Bank (VIB),product,,16 Phan Chu Trinh Hoan Kiem Ha Noi,FALSE,FALSE,
8c3d05,6 năm trước,"phỏng vấn ở đây khó không bác, cũng định apply vô java dev",Vietnam International Bank (VIB),product,,16 Phan Chu Trinh Hoan Kiem Ha Noi,FALSE,FALSE,
37989a,6 năm trước,"mọi người cho xin ý kiến về công ty này đi ạ, lương thưởng. phỏng vấn ở đây như thế nào ạ",Vietnam International Bank (VIB),product,,16 Phan Chu Trinh Hoan Kiem Ha Noi,FALSE,FALSE,
8ea0f3,9 năm trước,"đầu tư nhiều vào công nghệ và quan tâm đến trải nghiệm người dùng, phát triển sản phẩmcòn 1 số cơ cấu và tương quan, quy trình giữa các phòng ban chưa rõ ràng, lằng nhằng. quy trình để làm OT và thời gian để nhận tiền OT từ lúc đã được phê duyệt khá lâu và rườm rà.",Vietnam International Bank (VIB),product,,16 Phan Chu Trinh Hoan Kiem Ha Noi,TRUE,TRUE,
516a39,6 tháng trước,"vừa nghe bhxh chỉ được đóng trên 60-70% lương với thêm mấy bà manager trẻ trâu ngạo mạn là né gấp rồi, bảo là mục tiêu tuyển dụng là để đào tạo & thay thế vị trí manager của bả sau 6-7 năm nữa, bởi theo ý bả là ngta 1-2 năm lên senior, rùi 2-3 năm lên manager là bị ngáo title, chỉ có lộ trình bả vạch ra mới đúng thoy, cỡ dị dị không đó... nghe cái thấy eq, iq thấp tẹt",YouNet,product,301-500,70 Lu Gia District 11 Ho Chi Minh,TRUE,TRUE,
25ecfe,8 tháng trước,"mọi người nên suy nghĩ trước khi nộp đơn vào, toàn moi kiến thức các kiểu, không thuê lâu dài đâu, đen hồ sơ các bác ạ.",YouNet,product,301-500,70 Lu Gia District 11 Ho Chi Minh,TRUE,TRUE,
75c7e5,9 tháng trước,công ty rất thất đức nha. tôi (và không phải một mình tôi) đang làm cho công ty khác thì nhân sự bên này lôi kéo vào gấp cho bằng được với hứa hẹn hợp đồng trên 1 năm nhưng chỉ thời gian ngắn đã cho nghỉ mà không có lý do cụ thể. bà con ứng tuyển thì nên cẩn thận để không bị lừa.,YouNet,product,301-500,70 Lu Gia District 11 Ho Chi Minh,TRUE,TRUE,
acac82,1 năm trước,"younetsocial nói thẳng ra làm sp như qq, *** thằng head product (nói cho oách vậy thôi chứ trình như **), toàn đi hỏi thằng backend tên t* với n* còn thằng technical exp thì tách bệt với thế giới, 1 tuần refactor code hoiwn chục lần, mỗi ngày site đều chết *cười bome tụi qc thì ối giời ơi, toàn đám fresher (thua cả trình intern) thằng devops p* thì hôi nách *** chịu được metafox *** gì, là bản fb phiên bản lỗi, ls cho không thì hẹn hẹn hẹn, giờ không biết phá sản chưa",YouNet,product,301-500,70 Lu Gia District 11 Ho Chi Minh,TRUE,TRUE,
72dc12,2 năm trước,"mình sắp vào công ty nên cần mọi người cho ý kiến. công ty lương thưởng chế độ làm việc tốt không ạ, mình làm ở team nghe nói lớn nên hoang mang.",YouNet,product,301-500,70 Lu Gia District 11 Ho Chi Minh,FALSE,FALSE,
ae2e07,2 năm trước,"công ty lương thấp mà ép voeejc kinh khủng, tới khi lên chính thức thì lương tăng không bao nhiêu nhưng việc OT quá nhiều",YouNet,product,301-500,70 Lu Gia District 11 Ho Chi Minh,TRUE,TRUE,
