company_name,company_slug,company_url,review_count,company_type,company_size,company_address,processed
Việt Mỹ Ssu (15),viet-my-ssu,https://congty.review/companies/viet-my-ssu,15,,,"Việt Mỹ Ssu (15) outsource 151-500 198 A5 Hoàng Văn Thụ, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",True
VMO Holdings (9),vmo-holdings,https://congty.review/companies/vmo-holdings,9,,,,True
TONY FRUIT (6),tony-fruit,https://congty.review/companies/tony-fruit,6,,,"TONY FRUIT (6) Kinh doanh 201-500 212 Đường 48, Phường Vĩnh Hội, TP HCM",True
Viet Nam Ureka Media (5),viet-nam-ureka-media,https://congty.review/companies/viet-nam-ureka-media,5,,,Viet Nam Ureka Media (5) outsource 1-50 02 Đường số 44 District 2 Ho Chi Minh,True
Phong Vũ (24),phong-vu,https://congty.review/companies/phong-vu,24,,,Phong Vũ (24) product 51-150 198 Nguyen Thi Minh Khai District 3 Ho Chi Minh,True
TGL Solutions (14),tgl-solutions,https://congty.review/companies/tgl-solutions,14,,,,True
ezCloud (98),ezcloud,https://congty.review/companies/ezcloud,98,,,ezCloud (98) product 51-150 266 Đội Cấn Ba Dinh Ha Noi,True
Westcoast International Dental Clinic (3),westcoast-international-dental-clinic,https://congty.review/companies/westcoast-international-dental-clinic,3,,,"Westcoast International Dental Clinic (3) outsource 51-150 17-19-21 Lý Tự Trọng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",True
SeoNgon (6),seongon,https://congty.review/companies/seongon,6,,,"SeoNgon (6) outsource 51-150 25 Phố Nam Đồng, Nam Đồng, Đống Đa, Hà Nội",True
LacHong Tech (20),lachong-tech,https://congty.review/companies/lachong-tech,20,,,"LacHong Tech (20) product 1-50 B15 Khu Đô thị Đại Kim, đường Nguyễn Cảnh Dị Hoang Mai Ha Noi",True
GeoComply (53),geocomply,https://congty.review/companies/geocomply,53,,,"GeoComply (53) product 51-150 49 Mạc Đinh Chi, Phường DaKao, Quận 1, HCMC",True
Nam Việt Corp (9),nam-viet-corp,https://congty.review/companies/nam-viet-corp,9,,,"Nam Việt Corp (9) product 151-500 Dịch Vọng, quận Cầu Giấy, Hà Nội, Việt Nam",True
Việt Vang (11),viet-vang,https://congty.review/companies/viet-vang,11,,,Việt Vang (11) outsource 1-50 7 Trần Xuân Hòa District 5 Ho Chi Minh,True
Công Ty TNHH Công Nghệ D.C (21),cong-ty-tnhh-cong-nghe-d-c,https://congty.review/companies/cong-ty-tnhh-cong-nghe-d-c,21,,,,True
Trung Nam Group (28),trung-nam-group,https://congty.review/companies/trung-nam-group,28,,,"Trung Nam Group (28) product 301-500 Ho Chi Minh, Others",True
Vikoisoft,vikoisoft,https://congty.review/companies/vikoisoft,0,,,Vikoisoft IT 51-200 Hà Nội,True
Vnpt Bdg - Vnpt Bình Dương - Trung Tâm Kinh Doanh Vnpt Bình Dương (3),vnpt-bdg-vnpt-binh-duong-trung-tam-kinh-doanh-vnpt-binh-duong,https://congty.review/companies/vnpt-bdg-vnpt-binh-duong-trung-tam-kinh-doanh-vnpt-binh-duong,3,,,"Vnpt Bdg - Vnpt Bình Dương - Trung Tâm Kinh Doanh Vnpt Bình Dương (3) outsource 51-150 Số 326, Đại lộ Bình Dương, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương",True
"BAN VIEN Co., LTD (96)",ban-vien-co-ltd,https://congty.review/companies/ban-vien-co-ltd,96,,,"BAN VIEN Co., LTD (96) outsource 151-300 Floor 2, Block B, Copac Square, 12 Ton Dan St District 4 Ho Chi Minh",True
Hyra Holdings,hyra-holdings,https://congty.review/companies/hyra-holdings,0,,,Hyra Holdings IT Hà Nội,True
GTV SEO (30),gtv-seo,https://congty.review/companies/gtv-seo,30,,,GTV SEO (30) product 1-50 Ho Chi Minh,True
369e5a đã review Việt Mỹ Ssu,viet-my-ssu,https://congty.review/companies/viet-my-ssu,0,,,,True
69f106 đã review VMO Holdings,vmo-holdings,https://congty.review/companies/vmo-holdings,0,,,,True
288369 đã review TONY FRUIT,tony-fruit,https://congty.review/companies/tony-fruit,0,,,,True
288369 đã review TONY FRUIT,tony-fruit,https://congty.review/companies/tony-fruit,0,,,,True
ce9dd7 đã review TONY FRUIT,tony-fruit,https://congty.review/companies/tony-fruit,0,,,,True
ce9dd7 đã review TONY FRUIT,tony-fruit,https://congty.review/companies/tony-fruit,0,,,,True
ce9dd7 đã review TONY FRUIT,tony-fruit,https://congty.review/companies/tony-fruit,0,,,,True
ce9dd7 đã review TONY FRUIT,tony-fruit,https://congty.review/companies/tony-fruit,0,,,,True
288369 đã review TONY FRUIT,tony-fruit,https://congty.review/companies/tony-fruit,0,,,,True
288369 đã review TONY FRUIT,tony-fruit,https://congty.review/companies/tony-fruit,0,,,,True
288369 đã review TONY FRUIT,tony-fruit,https://congty.review/companies/tony-fruit,0,,,,True
64abd5 đã review Viet Nam Ureka Media,viet-nam-ureka-media,https://congty.review/companies/viet-nam-ureka-media,0,,,,True
7858e1 đã review Phong Vũ,phong-vu,https://congty.review/companies/phong-vu,0,,,,True
1b132b đã review TGL Solutions,tgl-solutions,https://congty.review/companies/tgl-solutions,0,,,,True
1b132b đã review ezCloud,ezcloud,https://congty.review/companies/ezcloud,0,,,,True
Enrich & Co. (4),enrich-co,https://congty.review/companies/enrich-co,4,,,"Enrich & Co. (4) product 1-50 Tan Binh, Ho Chi Minh",True
Taisun Vietnam (6),taisun-vietnam,https://congty.review/companies/taisun-vietnam,6,,,Taisun Vietnam (6) product 501-1000 Đường N5 KCN Tây Bắc Củ Chi Ho Chi Minh,True
ID Communication Group,id-communication-group,https://congty.review/companies/id-communication-group,0,,,,True
H&L CONSULTING JSC (4),h-l-consulting-jsc,https://congty.review/companies/h-l-consulting-jsc,4,,,,True
SAVIPHARM (3),savipharm,https://congty.review/companies/savipharm,3,,,SAVIPHARM (3) product 301-500 District 7 Ho Chi Minh,True
Tinh Van Consulting (38),tinh-van-consulting,https://congty.review/companies/tinh-van-consulting,38,,,Tinh Van Consulting (38) product 51-150 15 HACINCO Student Village Thanh Xuan Ha Noi,True
Buymed (237),thuocsi-vn,https://congty.review/companies/thuocsi-vn,237,,,"Buymed (237) product 1-50 Tầng 8, Tòa nhà Vincom Center Đồng Khởi, 72 Lê Thánh Tôn - Phường Bến Nghé - Quận 1 - TP Hồ Chí Minh.",True
Công ty TNHH Technet Global (1),cong-ty-tnhh-technet-global,https://congty.review/companies/cong-ty-tnhh-technet-global,1,,,"Công ty TNHH Technet Global (1) Công nghệ 25-99 Số 281-283-285-287 Nguyễn Thiện Thuật, Phường 01, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",True
Công Ty Giải Pháp Doanh Nghiệp Exnodes (1),cong-ty-giai-phap-doanh-nghiep-exnodes,https://congty.review/companies/cong-ty-giai-phap-doanh-nghiep-exnodes,1,,,"Công Ty Giải Pháp Doanh Nghiệp Exnodes (1) IT Phần mềm 11-50 625 Nguyễn Trãi, Phường 11, Quận 5, Hồ Chí Minh",True
Samsung Electronics HCMC CE Complex (78),samsung-electronics-hcmc-ce-complex,https://congty.review/companies/samsung-electronics-hcmc-ce-complex,78,,,"Samsung Electronics HCMC CE Complex (78) product District 9, Ho Chi Minh",True
GEM Corporation (33),gem-corporation,https://congty.review/companies/gem-corporation,33,,,"GEM Corporation (33) outsource 51-150 Handico, Phạm Hùng Nam Tu Liem Ha Noi",True
Công Ty Cổ Phần Công Nghệ Truyền Thông Hành Động ACT GROUP,cong-ty-co-phan-cong-nghe-truyen-thong-hanh-dong-act-group,https://congty.review/companies/cong-ty-co-phan-cong-nghe-truyen-thong-hanh-dong-act-group,0,,,"Công Ty Cổ Phần Công Nghệ Truyền Thông Hành Động ACT GROUP Agency Marketing 10 nhân viên Số 27, Ngõ 16 Hoàng Cầu, Quận Đống Đa, TP Hà Nội",True
icondo Vietnam,icondo-vietnam,https://congty.review/companies/icondo-vietnam,0,,,,True
LVAG,lvag,https://congty.review/companies/lvag,0,,,,True
PVAGROUP (1),pvagroup,https://congty.review/companies/pvagroup,1,,,"PVAGROUP (1) 1-10 Số 7 Đường Gamuda Gardens 3.7/8 Khu đô thị Gamuda Gardens, P.Hoàng Mai, TP.Hà Nội, Việt Nam",True
RiverCrane Vietnam (27),rivercrane-vietnam,https://congty.review/companies/rivercrane-vietnam,27,,,"RiverCrane Vietnam (27) product 51-150 Tầng 20, 132, Hàm Nghi District 1 Ho Chi Minh",True
Digital Unicorn (17),digital-unicorn,https://congty.review/companies/digital-unicorn,17,,,,True
công ty cổ phần greenfeed việt nam,cong-ty-co-phan-greenfeed-viet-nam,https://congty.review/companies/cong-ty-co-phan-greenfeed-viet-nam,0,,,,True
Công ty Cổ Phần Đối Tác Chân Thật (50),cong-ty-co-phan-doi-tac-chan-that,https://congty.review/companies/cong-ty-co-phan-doi-tac-chan-that,50,,,Công ty Cổ Phần Đối Tác Chân Thật (50) product 51-150 Ho Chi Minh,True
Ecozen International JSC (89),ecozen-international-jsc,https://congty.review/companies/ecozen-international-jsc,89,,,"Ecozen International JSC (89) product 51-150 41 Thép Mới, Phường 12, Tân Bình, Thành phố Hồ Chí Minh 700000",True
Meey Land (365),cong-ty-co-phan-tap-doan-meey-land,https://congty.review/companies/cong-ty-co-phan-tap-doan-meey-land,365,,,"Meey Land (365) product 1-50 Dong Da, Ha Noi",True
Nestle,nestle,https://congty.review/companies/nestle,0,,,,True
Bệnh Viện Đa Khoa Quốc Tế Thu Cúc (9),benh-vien-da-khoa-quoc-te-thu-cuc,https://congty.review/companies/benh-vien-da-khoa-quoc-te-thu-cuc,9,,,Bệnh Viện Đa Khoa Quốc Tế Thu Cúc (9) product 301-500 Ha Noi,True
